ffunction             0x5655624d
fnotAccessed          0x56556287
fmain                 0x565562c1
reip                  0x565563b5
rframe_eip            0x565563b5
iendcode              0x56556490
redx                  0x56557099
istartData            0x56558ec8
rebx                  0x56558fc8
iendData              0x56559008
iheapExpand           0x5655a000
imap_heap_bottom      0x5657c000 
rframe_saved_eip      0xf7de6ed5
redi                  0xf7fb4000
imap_stack_top        0xfffdd000
vm                    0xffffcdd0
vesp                  0xffffcdd0
vt                    0xffffcdd4
vend                  0xffffcdd8
vbuff                 0xffffcddc
vstr                  0xffffcdfc
rsaved_frame_ebx      0xffffce24
rebp                  0xffffce28
rsaved_frame_eip      0xffffce3c
rprevious_sp          0xffffce40
istartStack           0xffffced0
